Date,Time,Activity,Category,Productivity,Time Spent (seconds)
2026-02-07,09:32:18,docs.google.com,Reference & Learning,1,38
2026-02-07,09:32:57,youtube.com,Entertainment,-2,267
2026-02-07,09:37:25,VS Code,Software Development,2,119
2026-02-07,09:39:25,github.com,Software Development,2,121
2026-02-07,09:41:26,slack.com,Communication,0,233
2026-02-07,09:45:20,docs.google.com,Reference & Learning,1,185
2026-02-07,09:48:26,docs.google.com,Reference & Learning,1,61
2026-02-07,09:49:27,youtube.com,Entertainment,-2,199
2026-02-07,09:52:47,slack.com,Communication,0,82
2026-02-07,09:54:09,slack.com,Communication,0,159
2026-02-07,09:56:48,terminal,Software Development,2,306
2026-02-07,10:01:55,stackoverflow.com,Reference & Learning,1,144
2026-02-07,10:04:20,twitter.com,Social Media,-2,300
2026-02-07,10:09:20,slack.com,Communication,0,111
2026-02-07,10:11:12,mail.google.com,Communication,0,195
2026-02-07,10:14:28,youtube.com,Entertainment,-2,96
2026-02-07,10:16:04,mail.google.com,Communication,0,200
2026-02-07,10:19:25,twitter.com,Social Media,-2,270
2026-02-07,10:23:55,mail.google.com,Communication,0,138
2026-02-07,10:26:13,mail.google.com,Communication,0,118
2026-02-07,10:28:11,docs.google.com,Reference & Learning,1,44
2026-02-07,10:28:55,terminal,Software Development,2,301
2026-02-07,10:33:57,twitter.com,Social Media,-2,59
2026-02-07,10:34:57,slack.com,Communication,0,301
2026-02-07,10:39:59,github.com,Software Development,2,329
2026-02-07,22:11:42,VS Code,Software Development,2,834
2026-02-07,22:25:37,VS Code,Software Development,2,1270
2026-02-07,22:46:47,VS Code,Software Development,2,975
2026-02-07,23:03:03,slack.com,Communication,0,1038
2026-02-07,23:20:22,VS Code,Software Development,2,606
2026-02-07,23:30:28,VS Code,Software Development,2,355
2026-02-07,23:36:24,VS Code,Software Development,2,1136
2026-02-07,23:55:20,VS Code,Software Development,2,1311
2026-02-08,00:17:12,VS Code,Software Development,2,955
2026-02-08,00:33:07,VS Code,Software Development,2,441
2026-02-08,00:40:29,VS Code,Software Development,2,708
2026-02-08,00:52:17,VS Code,Software Development,2,719
2026-02-08,01:04:17,VS Code,Software Development,2,586
2026-02-08,01:14:04,VS Code,Software Development,2,1232
2026-02-08,01:34:36,VS Code,Software Development,2,1434
2026-02-08,01:58:30,VS Code,Software Development,2,389
2026-02-08,02:04:59,VS Code,Software Development,2,421
2026-02-08,02:12:01,VS Code,Software Development,2,721
2026-02-08,02:24:02,terminal,Software Development,2,806
2026-02-08,02:37:28,slack.com,Communication,0,1404
2026-02-08,03:00:53,VS Code,Software Development,2,1180
2026-02-08,03:20:34,VS Code,Software Development,2,394
2026-02-08,03:27:08,VS Code,Software Development,2,1208
2026-02-08,03:47:17,VS Code,Software Development,2,1363
2026-02-08,04:10:00,VS Code,Software Development,2,1089
2026-02-08,04:28:10,VS Code,Software Development,2,331
2026-02-08,04:33:41,VS Code,Software Development,2,403
2026-02-08,04:40:24,terminal,Software Development,2,607
2026-02-08,04:50:32,terminal,Software Development,2,995
2026-02-08,05:07:08,VS Code,Software Development,2,868
2026-02-08,05:21:36,VS Code,Software Development,2,1252
2026-02-08,05:42:28,youtube.com,Entertainment,-2,320
2026-02-08,05:47:49,docs.google.com,Reference & Learning,1,181
2026-02-08,05:50:51,youtube.com,Entertainment,-2,329
2026-02-08,05:56:21,github.com,Software Development,2,254
2026-02-08,06:00:36,docs.google.com,Reference & Learning,1,164
2026-02-08,06:03:20,github.com,Software Development,2,249
2026-02-08,06:07:30,stackoverflow.com,Reference & Learning,1,172
2026-02-08,06:10:22,VS Code,Software Development,2,115
2026-02-08,06:12:18,twitter.com,Social Media,-2,304
2026-02-08,06:17:23,docs.google.com,Reference & Learning,1,41
2026-02-08,06:18:04,slack.com,Communication,0,160
2026-02-08,06:20:45,youtube.com,Entertainment,-2,46
2026-02-08,06:21:31,stackoverflow.com,Reference & Learning,1,96
2026-02-08,06:23:07,docs.google.com,Reference & Learning,1,271
2026-02-08,06:27:39,stackoverflow.com,Reference & Learning,1,177
2026-02-08,06:30:37,stackoverflow.com,Reference & Learning,1,318
2026-02-08,06:35:55,slack.com,Communication,0,51
2026-02-08,06:36:47,twitter.com,Social Media,-2,265
2026-02-08,06:41:12,terminal,Software Development,2,302
2026-02-08,06:46:15,VS Code,Software Development,2,238
2026-02-08,06:50:13,VS Code,Software Development,2,290
2026-02-08,06:55:03,twitter.com,Social Media,-2,202
2026-02-08,06:58:26,stackoverflow.com,Reference & Learning,1,124
2026-02-08,07:00:30,twitter.com,Social Media,-2,199
2026-02-08,07:03:50,youtube.com,Entertainment,-2,233
2026-02-08,07:07:43,twitter.com,Social Media,-2,112
2026-02-08,07:09:36,twitter.com,Social Media,-2,277
2026-02-08,07:14:14,stackoverflow.com,Reference & Learning,1,248
2026-02-08,07:18:22,youtube.com,Entertainment,-2,234
2026-02-08,07:22:17,github.com,Software Development,2,179
2026-02-08,07:25:17,twitter.com,Social Media,-2,222
2026-02-08,07:28:59,youtube.com,Entertainment,-2,177
2026-02-08,07:31:57,stackoverflow.com,Reference & Learning,1,325
2026-02-08,07:37:22,youtube.com,Entertainment,-2,314
2026-02-08,07:42:37,stackoverflow.com,Reference & Learning,1,48
2026-02-08,07:43:25,terminal,Software Development,2,288
2026-02-08,07:48:14,mail.google.com,Communication,0,278
2026-02-08,07:52:53,terminal,Software Development,2,58
2026-02-08,07:53:51,slack.com,Communication,0,94
2026-02-08,07:55:26,twitter.com,Social Media,-2,269
2026-02-08,07:59:56,github.com,Software Development,2,251
2026-02-08,08:04:07,github.com,Software Development,2,1472
2026-02-08,08:28:40,VS Code,Software Development,2,1146
2026-02-08,08:47:46,github.com,Software Development,2,1012
2026-02-08,09:04:38,VS Code,Software Development,2,515
2026-02-08,09:13:13,docs.google.com,Reference & Learning,1,1245
2026-02-08,09:33:59,github.com,Software Development,2,1230
2026-02-08,09:54:29,github.com,Software Development,2,361
2026-02-08,10:00:31,VS Code,Software Development,2,525
2026-02-08,10:09:17,github.com,Software Development,2,1262
2026-02-08,10:30:20,VS Code,Software Development,2,658
2026-02-08,10:41:18,slack.com,Communication,0,440
2026-02-08,10:48:38,VS Code,Software Development,2,901
2026-02-08,11:03:40,slack.com,Communication,0,1332
2026-02-08,11:25:53,terminal,Software Development,2,1204
2026-02-08,11:45:57,terminal,Software Development,2,1041
2026-02-08,12:03:18,terminal,Software Development,2,689
2026-02-08,12:14:47,VS Code,Software Development,2,1285
2026-02-08,12:36:13,VS Code,Software Development,2,1309
2026-02-08,12:58:03,github.com,Software Development,2,968
2026-02-08,13:14:11,VS Code,Software Development,2,660
2026-02-08,13:25:12,VS Code,Software Development,2,1423
2026-02-08,13:48:56,VS Code,Software Development,2,589
2026-02-08,13:58:45,VS Code,Software Development,2,420
2026-02-08,14:05:46,slack.com,Communication,0,842
2026-02-08,14:19:48,VS Code,Software Development,2,823
2026-02-08,14:33:32,VS Code,Software Development,2,1158
2026-02-08,14:52:50,VS Code,Software Development,2,444
2026-02-08,15:00:15,slack.com,Communication,0,319
2026-02-08,15:05:35,VS Code,Software Development,2,915
2026-02-08,15:20:50,VS Code,Software Development,2,367
2026-02-08,15:26:57,VS Code,Software Development,2,415
2026-02-08,15:33:53,github.com,Software Development,2,646
2026-02-08,15:44:40,terminal,Software Development,2,948
2026-02-08,16:00:28,VS Code,Software Development,2,1059
2026-02-08,16:18:07,github.com,Software Development,2,693
2026-02-08,16:29:40,VS Code,Software Development,2,472
2026-02-08,16:37:33,VS Code,Software Development,2,982
2026-02-08,16:53:55,VS Code,Software Development,2,881
2026-02-08,17:08:36,github.com,Software Development,2,407
2026-02-08,17:15:24,VS Code,Software Development,2,1213
2026-02-08,17:35:38,VS Code,Software Development,2,921
2026-02-08,17:50:59,VS Code,Software Development,2,1184
2026-02-08,18:10:43,VS Code,Software Development,2,803
2026-02-08,18:24:06,github.com,Software Development,2,833
2026-02-08,18:38:00,VS Code,Software Development,2,452
2026-02-08,18:45:32,VS Code,Software Development,2,488
2026-02-08,18:53:41,VS Code,Software Development,2,820
2026-02-08,19:07:21,VS Code,Software Development,2,869
2026-02-08,19:21:50,VS Code,Software Development,2,760
2026-02-08,19:34:30,terminal,Software Development,2,1181
2026-02-08,19:54:11,VS Code,Software Development,2,1311
2026-02-09,01:01:09,VS Code,Software Development,2,959
2026-02-09,01:17:08,VS Code,Software Development,2,784
2026-02-09,01:30:13,VS Code,Software Development,2,622
2026-02-09,01:40:35,github.com,Software Development,2,1269
2026-02-09,02:01:44,VS Code,Software Development,2,1301
2026-02-09,02:23:25,VS Code,Software Development,2,928
2026-02-09,02:38:54,VS Code,Software Development,2,1041
2026-02-09,02:56:15,terminal,Software Development,2,1120
2026-02-09,03:14:55,VS Code,Software Development,2,1250
2026-02-09,03:35:46,VS Code,Software Development,2,1042
2026-02-09,03:53:09,github.com,Software Development,2,436
2026-02-09,04:00:25,VS Code,Software Development,2,863
2026-02-09,04:14:48,github.com,Software Development,2,1322
2026-02-09,04:36:51,VS Code,Software Development,2,1311
2026-02-09,04:58:43,VS Code,Software Development,2,479
2026-02-09,05:06:42,VS Code,Software Development,2,885
2026-02-09,05:21:27,VS Code,Software Development,2,996
2026-02-09,05:38:04,VS Code,Software Development,2,1358
2026-02-09,06:00:43,VS Code,Software Development,2,1283
2026-02-09,06:22:07,slack.com,Communication,0,1008
2026-02-09,06:38:56,VS Code,Software Development,2,1375
2026-02-09,07:01:51,VS Code,Software Development,2,1106
2026-02-09,07:20:17,VS Code,Software Development,2,764
2026-02-09,07:33:02,VS Code,Software Development,2,953
2026-02-09,07:48:55,VS Code,Software Development,2,635
2026-02-09,07:59:30,VS Code,Software Development,2,1344
2026-02-09,08:21:55,VS Code,Software Development,2,716
2026-02-09,08:33:51,stackoverflow.com,Reference & Learning,1,961
2026-02-09,08:49:53,VS Code,Software Development,2,956
2026-02-09,09:05:50,VS Code,Software Development,2,1074
2026-02-09,09:23:45,terminal,Software Development,2,453
2026-02-09,09:31:18,slack.com,Communication,0,1055
2026-02-09,09:48:53,VS Code,Software Development,2,385
2026-02-09,09:55:18,VS Code,Software Development,2,900
2026-02-09,10:10:19,docs.google.com,Reference & Learning,1,254
2026-02-09,10:14:33,terminal,Software Development,2,201
2026-02-09,10:17:55,slack.com,Communication,0,97
2026-02-09,10:19:33,github.com,Software Development,2,243
2026-02-09,10:23:37,mail.google.com,Communication,0,136
2026-02-09,10:25:53,terminal,Software Development,2,204
2026-02-09,10:29:17,terminal,Software Development,2,196
2026-02-09,10:32:34,terminal,Software Development,2,112
2026-02-09,10:34:26,VS Code,Software Development,2,144
2026-02-09,10:36:50,VS Code,Software Development,2,182
2026-02-09,10:39:53,slack.com,Communication,0,123
2026-02-09,10:41:56,github.com,Software Development,2,100
2026-02-09,10:43:36,twitter.com,Social Media,-2,128
2026-02-09,10:45:44,youtube.com,Entertainment,-2,249
2026-02-09,10:49:54,twitter.com,Social Media,-2,83
2026-02-09,10:51:17,docs.google.com,Reference & Learning,1,51
2026-02-09,10:52:08,VS Code,Software Development,2,167
2026-02-09,10:54:56,github.com,Software Development,2,182
2026-02-09,10:57:58,VS Code,Software Development,2,62
2026-02-09,10:59:01,mail.google.com,Communication,0,255
2026-02-09,11:03:16,terminal,Software Development,2,124
2026-02-09,11:05:20,mail.google.com,Communication,0,217
2026-02-09,11:08:58,youtube.com,Entertainment,-2,233
2026-02-09,11:12:51,slack.com,Communication,0,310
2026-02-09,11:18:02,github.com,Software Development,2,336
2026-02-09,11:23:38,VS Code,Software Development,2,1347
2026-02-09,11:46:06,VS Code,Software Development,2,774
2026-02-09,11:59:01,VS Code,Software Development,2,1430
2026-02-09,12:22:51,slack.com,Communication,0,1126
2026-02-09,12:41:38,VS Code,Software Development,2,1350
2026-02-09,13:04:08,VS Code,Software Development,2,759
2026-02-09,13:16:48,terminal,Software Development,2,1106
2026-02-09,13:35:14,terminal,Software Development,2,749
2026-02-09,13:47:44,terminal,Software Development,2,318
2026-02-09,13:53:03,terminal,Software Development,2,1462
2026-02-09,14:17:25,VS Code,Software Development,2,489
2026-02-09,14:25:35,VS Code,Software Development,2,1463
2026-02-09,14:49:58,github.com,Software Development,2,646
2026-02-09,15:00:45,VS Code,Software Development,2,790
2026-02-09,15:13:56,VS Code,Software Development,2,1156
2026-02-09,15:33:12,stackoverflow.com,Reference & Learning,1,1419
2026-02-09,15:56:51,twitter.com,Social Media,-2,1047
2026-02-09,19:36:45,VS Code,Software Development,2,1446
2026-02-09,20:00:51,VS Code,Software Development,2,984
2026-02-09,20:17:15,VS Code,Software Development,2,645
2026-02-09,20:28:01,VS Code,Software Development,2,346
2026-02-09,20:33:48,VS Code,Software Development,2,574
2026-02-09,20:43:22,VS Code,Software Development,2,1478
2026-02-09,21:08:01,github.com,Software Development,2,381
2026-02-09,21:14:22,terminal,Software Development,2,1479
2026-02-09,21:39:02,github.com,Software Development,2,1367
2026-02-09,22:01:50,VS Code,Software Development,2,1107
2026-02-09,22:20:17,VS Code,Software Development,2,934
2026-02-09,22:35:52,VS Code,Software Development,2,950
2026-02-09,22:51:43,VS Code,Software Development,2,691
2026-02-09,23:03:15,VS Code,Software Development,2,1365
2026-02-09,23:26:01,VS Code,Software Development,2,396
2026-02-09,23:32:37,VS Code,Software Development,2,1488
2026-02-09,23:57:26,github.com,Software Development,2,1462
2026-02-10,00:21:48,VS Code,Software Development,2,1438
2026-02-10,00:45:46,github.com,Software Development,2,1398
2026-02-10,01:09:05,VS Code,Software Development,2,772
2026-02-10,01:21:57,VS Code,Software Development,2,1466
2026-02-10,01:46:23,VS Code,Software Development,2,966
2026-02-10,02:02:29,VS Code,Software Development,2,427
2026-02-10,02:09:36,VS Code,Software Development,2,355
2026-02-10,02:15:32,VS Code,Software Development,2,1354
2026-02-10,09:40:45,VS Code,Software Development,2,500
2026-02-10,09:49:05,VS Code,Software Development,2,1189
2026-02-10,10:08:55,VS Code,Software Development,2,1174
2026-02-10,10:28:29,VS Code,Software Development,2,676
2026-02-10,10:39:46,VS Code,Software Development,2,1129
2026-02-10,20:40:12,slack.com,Communication,0,89
2026-02-10,20:41:41,twitter.com,Social Media,-2,177
2026-02-10,20:44:38,mail.google.com,Communication,0,108
2026-02-10,20:46:27,twitter.com,Social Media,-2,228
2026-02-10,20:50:15,docs.google.com,Reference & Learning,1,292
2026-02-10,20:55:07,terminal,Software Development,2,224
2026-02-10,20:58:51,slack.com,Communication,0,203
2026-02-10,21:02:15,terminal,Software Development,2,40
2026-02-10,21:02:56,VS Code,Software Development,2,271
2026-02-10,21:07:27,stackoverflow.com,Reference & Learning,1,129
2026-02-10,21:09:36,slack.com,Communication,0,178
2026-02-10,21:12:35,youtube.com,Entertainment,-2,196
2026-02-10,21:15:51,VS Code,Software Development,2,74
2026-02-10,21:17:06,slack.com,Communication,0,80
2026-02-10,21:18:27,VS Code,Software Development,2,287
2026-02-10,21:23:14,youtube.com,Entertainment,-2,122
2026-02-10,21:25:17,slack.com,Communication,0,215
2026-02-10,21:28:52,youtube.com,Entertainment,-2,185
2026-02-10,21:31:58,slack.com,Communication,0,111
2026-02-10,21:33:49,VS Code,Software Development,2,47
2026-02-10,21:34:36,twitter.com,Social Media,-2,269
2026-02-10,21:39:06,mail.google.com,Communication,0,184
2026-02-10,21:42:10,stackoverflow.com,Reference & Learning,1,171
2026-02-10,21:45:02,youtube.com,Entertainment,-2,37
2026-02-10,21:45:40,mail.google.com,Communication,0,237
2026-02-10,21:49:38,docs.google.com,Reference & Learning,1,83
2026-02-10,21:51:01,slack.com,Communication,0,236
2026-02-10,21:54:57,stackoverflow.com,Reference & Learning,1,78
2026-02-10,21:56:15,mail.google.com,Communication,0,299
2026-02-10,22:01:15,stackoverflow.com,Reference & Learning,1,96
2026-02-10,22:02:52,mail.google.com,Communication,0,229
2026-02-10,22:06:42,youtube.com,Entertainment,-2,75
2026-02-10,22:07:58,stackoverflow.com,Reference & Learning,1,268
2026-02-10,22:12:27,slack.com,Communication,0,143
2026-02-10,22:14:50,stackoverflow.com,Reference & Learning,1,205
2026-02-10,22:18:16,VS Code,Software Development,2,138
2026-02-10,22:20:34,twitter.com,Social Media,-2,122
2026-02-10,22:22:37,twitter.com,Social Media,-2,266
2026-02-10,22:27:03,terminal,Software Development,2,72
2026-02-10,22:28:15,youtube.com,Entertainment,-2,267
2026-02-10,22:32:42,docs.google.com,Reference & Learning,1,173
2026-02-10,22:35:36,docs.google.com,Reference & Learning,1,88
2026-02-10,22:37:04,VS Code,Software Development,2,58
2026-02-10,22:38:03,github.com,Software Development,2,300
2026-02-10,22:43:04,stackoverflow.com,Reference & Learning,1,186
2026-02-10,22:46:10,slack.com,Communication,0,173
2026-02-10,22:49:04,youtube.com,Entertainment,-2,42
2026-02-10,22:49:46,slack.com,Communication,0,200
2026-02-10,22:53:07,slack.com,Communication,0,46
2026-02-10,22:53:53,github.com,Software Development,2,183
2026-02-10,22:56:57,docs.google.com,Reference & Learning,1,209
2026-02-10,23:00:27,mail.google.com,Communication,0,173
2026-02-10,23:03:20,youtube.com,Entertainment,-2,216
2026-02-10,23:06:57,terminal,Software Development,2,82
2026-02-10,23:08:20,slack.com,Communication,0,147
2026-02-10,23:10:47,VS Code,Software Development,2,300
2026-02-10,23:15:48,mail.google.com,Communication,0,58
2026-02-10,23:16:47,mail.google.com,Communication,0,322
2026-02-10,23:22:09,twitter.com,Social Media,-2,103
2026-02-10,23:23:53,twitter.com,Social Media,-2,122
2026-02-10,23:25:56,youtube.com,Entertainment,-2,55
2026-02-10,23:26:51,terminal,Software Development,2,243
2026-02-10,23:30:55,docs.google.com,Reference & Learning,1,200
2026-02-10,23:34:15,twitter.com,Social Media,-2,48
2026-02-10,23:35:04,youtube.com,Entertainment,-2,256
2026-02-10,23:39:20,docs.google.com,Reference & Learning,1,283
2026-02-10,23:44:03,stackoverflow.com,Reference & Learning,1,321
2026-02-10,23:49:25,slack.com,Communication,0,180
2026-02-10,23:52:25,VS Code,Software Development,2,295
2026-02-10,23:57:21,slack.com,Communication,0,299
2026-02-11,00:02:20,docs.google.com,Reference & Learning,1,73
2026-02-11,00:03:34,twitter.com,Social Media,-2,161
2026-02-11,00:06:16,stackoverflow.com,Reference & Learning,1,294
2026-02-11,00:11:10,terminal,Software Development,2,162
2026-02-11,00:13:52,terminal,Software Development,2,30
2026-02-11,00:14:23,docs.google.com,Reference & Learning,1,40
2026-02-11,00:15:04,slack.com,Communication,0,237
2026-02-11,00:19:01,mail.google.com,Communication,0,78
2026-02-11,00:20:20,VS Code,Software Development,2,207
2026-02-11,00:23:48,mail.google.com,Communication,0,329
2026-02-11,00:29:17,youtube.com,Entertainment,-2,150
2026-02-11,00:31:47,VS Code,Software Development,2,136
2026-02-11,00:34:04,VS Code,Software Development,2,76
2026-02-11,00:35:20,mail.google.com,Communication,0,68
2026-02-11,00:36:29,slack.com,Communication,0,128
2026-02-11,00:38:37,terminal,Software Development,2,176
2026-02-11,00:41:33,VS Code,Software Development,2,112
2026-02-11,00:43:26,twitter.com,Social Media,-2,223
2026-02-11,00:47:09,docs.google.com,Reference & Learning,1,185
2026-02-11,00:50:15,youtube.com,Entertainment,-2,55
2026-02-11,00:51:10,youtube.com,Entertainment,-2,233
2026-02-11,00:55:04,twitter.com,Social Media,-2,269
2026-02-11,00:59:34,slack.com,Communication,0,211
2026-02-11,01:03:05,docs.google.com,Reference & Learning,1,87
2026-02-11,01:04:33,stackoverflow.com,Reference & Learning,1,251
2026-02-11,01:08:45,terminal,Software Development,2,165
2026-02-11,01:11:30,stackoverflow.com,Reference & Learning,1,165
2026-02-11,01:14:16,stackoverflow.com,Reference & Learning,1,187
2026-02-11,01:17:23,VS Code,Software Development,2,110
2026-02-11,01:19:13,youtube.com,Entertainment,-2,43
2026-02-11,01:19:57,docs.google.com,Reference & Learning,1,323
2026-02-11,01:25:20,youtube.com,Entertainment,-2,104
2026-02-11,12:55:30,VS Code,Software Development,2,469
2026-02-11,13:03:20,VS Code,Software Development,2,1488
2026-02-11,13:28:08,stackoverflow.com,Reference & Learning,1,1462
2026-02-11,13:52:30,VS Code,Software Development,2,984
2026-02-11,14:08:55,VS Code,Software Development,2,653
2026-02-11,14:19:48,VS Code,Software Development,2,778
2026-02-11,20:09:36,terminal,Software Development,2,1225
2026-02-11,20:30:01,VS Code,Software Development,2,1386
2026-02-11,20:53:07,VS Code,Software Development,2,1053
2026-02-11,21:10:41,VS Code,Software Development,2,1404
2026-02-11,21:34:05,VS Code,Software Development,2,1099
2026-02-11,21:52:25,VS Code,Software Development,2,519
2026-02-11,22:01:04,VS Code,Software Development,2,1001
2026-02-11,22:17:45,VS Code,Software Development,2,1062
2026-02-11,22:35:28,VS Code,Software Development,2,969
2026-02-11,22:51:37,github.com,Software Development,2,1254
2026-02-11,23:12:32,VS Code,Software Development,2,1044
2026-02-11,23:29:57,VS Code,Software Development,2,905
2026-02-11,23:45:02,VS Code,Software Development,2,677
2026-02-11,23:56:19,VS Code,Software Development,2,489
2026-02-12,00:04:29,terminal,Software Development,2,561
2026-02-12,00:13:51,github.com,Software Development,2,986
2026-02-12,00:30:18,slack.com,Communication,0,1114
2026-02-12,00:48:52,VS Code,Software Development,2,974
2026-02-12,01:05:07,github.com,Software Development,2,926
2026-02-12,01:20:33,VS Code,Software Development,2,961
2026-02-12,01:36:34,VS Code,Software Development,2,427
2026-02-12,01:43:41,VS Code,Software Development,2,1284
2026-02-12,02:05:05,github.com,Software Development,2,599
2026-02-12,02:15:05,VS Code,Software Development,2,920
2026-02-12,02:30:25,github.com,Software Development,2,728
2026-02-12,02:42:34,VS Code,Software Development,2,1271
2026-02-12,03:03:45,VS Code,Software Development,2,608
2026-02-12,03:13:54,VS Code,Software Development,2,332
2026-02-12,03:19:27,VS Code,Software Development,2,1347
2026-02-12,03:41:55,VS Code,Software Development,2,1004
2026-02-12,03:58:39,VS Code,Software Development,2,693
2026-02-12,04:10:13,slack.com,Communication,0,474
2026-02-12,04:18:07,VS Code,Software Development,2,1234
2026-02-12,04:38:41,github.com,Software Development,2,1370
2026-02-12,05:01:32,VS Code,Software Development,2,1439
2026-02-12,05:25:31,VS Code,Software Development,2,1475
2026-02-12,05:50:07,github.com,Software Development,2,943
2026-02-12,06:05:50,VS Code,Software Development,2,400
2026-02-12,06:12:30,stackoverflow.com,Reference & Learning,1,506
2026-02-12,06:20:56,VS Code,Software Development,2,533
2026-02-12,06:29:50,VS Code,Software Development,2,1009
2026-02-12,06:46:40,terminal,Software Development,2,361
2026-02-12,06:52:41,VS Code,Software Development,2,984
2026-02-12,07:09:06,VS Code,Software Development,2,591
2026-02-12,07:18:57,VS Code,Software Development,2,1015
2026-02-12,07:35:53,VS Code,Software Development,2,1246
2026-02-12,07:56:40,VS Code,Software Development,2,1461
2026-02-12,08:21:01,VS Code,Software Development,2,480
2026-02-12,08:29:02,VS Code,Software Development,2,490
2026-02-12,08:37:13,VS Code,Software Development,2,987
2026-02-12,08:53:40,VS Code,Software Development,2,1325
2026-02-12,09:15:45,VS Code,Software Development,2,792
2026-02-12,09:28:58,VS Code,Software Development,2,1375
2026-02-12,21:17:34,VS Code,Software Development,2,302
2026-02-12,21:22:36,docs.google.com,Reference & Learning,1,321
2026-02-12,21:27:58,github.com,Software Development,2,225
2026-02-12,21:31:43,docs.google.com,Reference & Learning,1,51
2026-02-12,21:32:34,github.com,Software Development,2,256
2026-02-12,21:36:50,mail.google.com,Communication,0,197
2026-02-12,21:40:07,VS Code,Software Development,2,153
2026-02-12,21:42:41,twitter.com,Social Media,-2,260
2026-02-12,21:47:02,twitter.com,Social Media,-2,30
2026-02-12,21:47:33,youtube.com,Entertainment,-2,192
2026-02-12,21:50:45,stackoverflow.com,Reference & Learning,1,96
2026-02-12,21:52:22,stackoverflow.com,Reference & Learning,1,175
2026-02-12,21:55:17,twitter.com,Social Media,-2,128
2026-02-12,21:57:26,mail.google.com,Communication,0,46
2026-02-12,21:58:13,mail.google.com,Communication,0,112
2026-02-12,22:00:05,stackoverflow.com,Reference & Learning,1,183
2026-02-12,22:03:08,github.com,Software Development,2,255
2026-02-12,22:07:24,twitter.com,Social Media,-2,164
2026-02-12,22:10:09,VS Code,Software Development,2,67
2026-02-12,22:11:16,twitter.com,Social Media,-2,326
2026-02-12,22:16:42,twitter.com,Social Media,-2,76
2026-02-12,22:17:59,twitter.com,Social Media,-2,167
2026-02-12,22:20:47,mail.google.com,Communication,0,73
2026-02-12,22:22:00,github.com,Software Development,2,202
2026-02-12,22:25:23,mail.google.com,Communication,0,50
2026-02-12,22:26:13,slack.com,Communication,0,254
2026-02-12,22:30:28,docs.google.com,Reference & Learning,1,168
2026-02-12,22:33:17,slack.com,Communication,0,67
2026-02-12,22:34:25,github.com,Software Development,2,255
2026-02-12,22:38:40,slack.com,Communication,0,244
2026-02-12,22:42:45,mail.google.com,Communication,0,277
2026-02-12,22:47:22,VS Code,Software Development,2,1471
2026-02-12,23:11:53,VS Code,Software Development,2,1155
2026-02-12,23:31:08,VS Code,Software Development,2,1324
2026-02-12,23:53:13,VS Code,Software Development,2,771
2026-02-13,00:06:04,terminal,Software Development,2,1261
2026-02-13,00:27:06,terminal,Software Development,2,896
2026-02-13,00:42:02,youtube.com,Entertainment,-2,770
2026-02-13,00:54:53,twitter.com,Social Media,-2,1088
